    ;CALENDERDATE;FISCALHALFNAME;FISCALQUARTERNAME;FISCALMONTHNAME;FISCALWEEKNAME;FISCALMONTHNAMELABEL;FISCALMONTHNAMELABELFORECAST;FISCALMONTHNAMEAPPROX;FISCALQUARTERNAMEAPPROX;FISCALYEAR;FISCALHALF;FISCALQUARTER;FISCALMONTH;FISCALMONTHLABEL;FISCALWEEK;FISCALMONTHINQUARTER;FISCALWEEKINQUARTER;FISCALQUARTERFROMDATE;FISCALQUARTERTODATE;FISCALMONTHFROMDATE;FISCALMONTHTODATE;FISCALWEEKMONTHPOSITION;FISCALWEEKFROMDATE;FISCALWEEKTODATE;FISCALQUARTERROLLING;FISCALMONTHROLLING;QUARTERTYPE;MONTHTYPE
1   ;20000628    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W22       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;22        ;3                   ;9                  ;20000529             ;20000730           ;20000626           ;20000730         ;1                      ;20000626          ;20000702        ;-98                 ;-292              ;Previous   ;Previous 
2   ;20000627    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W22       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;22        ;3                   ;9                  ;20000529             ;20000730           ;20000626           ;20000730         ;1                      ;20000626          ;20000702        ;-98                 ;-292              ;Previous   ;Previous 
3   ;20000626    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W22       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;22        ;3                   ;9                  ;20000529             ;20000730           ;20000626           ;20000730         ;1                      ;20000626          ;20000702        ;-98                 ;-292              ;Previous   ;Previous 
4   ;20000629    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W22       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;22        ;3                   ;9                  ;20000529             ;20000730           ;20000626           ;20000730         ;1                      ;20000626          ;20000702        ;-98                 ;-292              ;Previous   ;Previous 
5   ;20000630    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W22       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;22        ;3                   ;9                  ;20000529             ;20000730           ;20000626           ;20000730         ;1                      ;20000626          ;20000702        ;-98                 ;-292              ;Previous   ;Previous 
6   ;20000701    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W22       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;22        ;3                   ;9                  ;20000529             ;20000730           ;20000626           ;20000730         ;1                      ;20000626          ;20000702        ;-98                 ;-292              ;Previous   ;Previous 
7   ;20000702    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W22       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;22        ;3                   ;9                  ;20000529             ;20000730           ;20000626           ;20000730         ;1                      ;20000626          ;20000702        ;-98                 ;-292              ;Previous   ;Previous 
8   ;20000703    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W23       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;23        ;3                   ;10                 ;20000529             ;20000730           ;20000626           ;20000730         ;2                      ;20000703          ;20000709        ;-98                 ;-292              ;Previous   ;Previous 
9   ;20000704    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W23       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;23        ;3                   ;10                 ;20000529             ;20000730           ;20000626           ;20000730         ;2                      ;20000703          ;20000709        ;-98                 ;-292              ;Previous   ;Previous 
10  ;20000705    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W23       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;23        ;3                   ;10                 ;20000529             ;20000730           ;20000626           ;20000730         ;2                      ;20000703          ;20000709        ;-98                 ;-292              ;Previous   ;Previous 
11  ;20000706    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W23       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;23        ;3                   ;10                 ;20000529             ;20000730           ;20000626           ;20000730         ;2                      ;20000703          ;20000709        ;-98                 ;-292              ;Previous   ;Previous 
12  ;20000707    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W23       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;23        ;3                   ;10                 ;20000529             ;20000730           ;20000626           ;20000730         ;2                      ;20000703          ;20000709        ;-98                 ;-292              ;Previous   ;Previous 
13  ;20000708    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W23       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;23        ;3                   ;10                 ;20000529             ;20000730           ;20000626           ;20000730         ;2                      ;20000703          ;20000709        ;-98                 ;-292              ;Previous   ;Previous 
14  ;20000709    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W23       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;23        ;3                   ;10                 ;20000529             ;20000730           ;20000626           ;20000730         ;2                      ;20000703          ;20000709        ;-98                 ;-292              ;Previous   ;Previous 
15  ;20000710    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W24       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;24        ;3                   ;11                 ;20000529             ;20000730           ;20000626           ;20000730         ;3                      ;20000710          ;20000716        ;-98                 ;-292              ;Previous   ;Previous 
16  ;20000711    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W24       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;24        ;3                   ;11                 ;20000529             ;20000730           ;20000626           ;20000730         ;3                      ;20000710          ;20000716        ;-98                 ;-292              ;Previous   ;Previous 
17  ;20000712    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W24       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;24        ;3                   ;11                 ;20000529             ;20000730           ;20000626           ;20000730         ;3                      ;20000710          ;20000716        ;-98                 ;-292              ;Previous   ;Previous 
18  ;20000713    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W24       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;24        ;3                   ;11                 ;20000529             ;20000730           ;20000626           ;20000730         ;3                      ;20000710          ;20000716        ;-98                 ;-292              ;Previous   ;Previous 
19  ;20000714    ;FY01H1        ;FY01Q2           ;FY01M006       ;FY01W24       ;Jul-00              ;                            ;                     ;                       ;2001      ;1         ;2            ;6          ;Jul             ;24        ;3                   ;11                 ;20000529             ;20000730           ;20000626           ;20000730         ;3                      ;20000710          ;20000716        ;-98                 ;-292              ;Previous   ;Previous 
